Object,Julian Date,UT,Magnitude Qualifier,Magnitude,Magnitude Error,Observer Name,Method,Equipment,Filter,Chart / Sequence,Visual Estimates,CCD Measurement Data: Measurement Type;Star Type;Star Id;Measured Mag;Measured Error;Reference Mag;Reference Error,Observation_Id
"GAMMA CAS","2459599.328000","19 Jan 2022 19:52:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+2",": ","4384823"
"GAMMA CAS","2459599.313000","19 Jan 2022 19:30:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4363065"
"GAMMA CAS","2459599.281200","19 Jan 2022 18:45:00","Equal","2.3000","","R K Hunt","Visual","NE","No Filter","64.01","=C","","4336022"
"GAMMA CAS","2459597.375700","17 Jan 2022 21:01:00","Equal","2.2000","","R K Hunt","Visual","NE","No Filter","SPA","=C","","4336047"
"GAMMA CAS","2459597.322200","17 Jan 2022 19:44:00","Equal","2.3000","","R K Hunt","Visual","NE","No Filter","64.01","=C","","4335902"
"GAMMA CAS","2459597.306000","17 Jan 2022 19:20:00","Equal","2.1000","","S W Albrighton","Visual","NE","No Filter","064.01","C+2","","4363019"
"GAMMA CAS","2459597.289000","17 Jan 2022 18:56:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4497249"
"GAMMA CAS","2459596.426700","16 Jan 2022 22:14:00","Equal","2.2000","","R K Hunt","Visual","B10x50","No Filter","64.01","C+1","","4326328"
"GAMMA CAS","2459593.340000","13 Jan 2022 20:10:00","Equal","2.1000","","S W Albrighton","Visual","20x80B","No Filter","064.01","C+2","","4362972"
"GAMMA CAS","2459593.257000","13 Jan 2022 18:10:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4497248"
"GAMMA CAS","2459592.358000","12 Jan 2022 20:35:00","Equal","2.2000","","T L Heywood","Visual","NE","No Filter","SPA","D+1","","4507152"
"GAMMA CAS","2459591.361800","11 Jan 2022 20:41:00","Equal","2.2000","","R K Hunt","Visual","NE","No Filter","64.01","C+1","","4314508"
"GAMMA CAS","2459589.260000","9 Jan 2022 18:15:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4362872"
"GAMMA CAS","2459585.299000","5 Jan 2022 19:10:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4497247"
"GAMMA CAS","2459585.288200","5 Jan 2022 18:55:00","Equal","2.1000","","R K Hunt","Visual","NE","No Filter","64.01","C+2","","4306574"
"GAMMA CAS","2459584.374000","4 Jan 2022 20:58:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4497246"
"GAMMA CAS","2459584.326000","4 Jan 2022 19:50:00","Equal","2.2000","","T L Heywood","Visual","NE","No Filter","SPA","D+1","","4507151"
"GAMMA CAS","2459584.295000","4 Jan 2022 19:05:00","Equal","2.1000","","R K Hunt","Visual","NE","No Filter","64.01","C+2","","4298738"
"GAMMA CAS","2459583.272500","3 Jan 2022 18:32:00","Equal","2.1000","","R K Hunt","Visual","NE","No Filter","64.01","C+2","","4283436"
"GAMMA CAS","2459582.361000","2 Jan 2022 20:40:00","Equal","2.1000","","S W Albrighton","Visual","NE","No Filter","064.01","C+2","","4362666"
"GAMMA CAS","2459582.325000","2 Jan 2022 19:48:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4497245"
"GAMMA CAS","2459582.315000","2 Jan 2022 19:34:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-4;C+2",": ","4384822"
"GAMMA CAS","2459572.347000","23 Dec 2021 20:20:00","Equal","2.1000","","S W Albrighton","Visual","NE","No Filter","064.01","C+2","","4277965"
"GAMMA CAS","2459556.378000","7 Dec 2021 21:05:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4277841"
"GAMMA CAS","2459555.354000","6 Dec 2021 20:30:00","Equal","2.0000","","C J Evans","Visual","B12x50","No Filter","64.01","A(2) v (1) B","","4555330"
"GAMMA CAS","2459555.332000","6 Dec 2021 19:58:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4364275"
"GAMMA CAS","2459553.324000","4 Dec 2021 19:47:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4364274"
"GAMMA CAS","2459551.278000","2 Dec 2021 18:40:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4364273"
"GAMMA CAS","2459550.372000","1 Dec 2021 20:55:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4277779"
"GAMMA CAS","2459546.389000","27 Nov 2021 21:20:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4364230"
"GAMMA CAS","2459545.302000","26 Nov 2021 19:15:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4364229"
"GAMMA CAS","2459541.323000","22 Nov 2021 19:45:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;=B;C+2",": : ","4270453"
"GAMMA CAS","2459540.389000","21 Nov 2021 21:20:00","Equal","2.1000","","S W Albrighton","Visual","NE","No Filter","064.01","B(1)v(2)C","","4264098"
"GAMMA CAS","2459540.366000","21 Nov 2021 20:47:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4364228"
"GAMMA CAS","2459537.424000","18 Nov 2021 22:10:00","Equal","2.3000","","S W Albrighton","Visual","20x80B","No Filter","064.01","V=C","","4264033"
"GAMMA CAS","2459534.251000","15 Nov 2021 18:01:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4364227"
"GAMMA CAS","2459530.490000","11 Nov 2021 23:45:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4263942"
"GAMMA CAS","2459527.249000","8 Nov 2021 17:59:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+3",": ","4270452"
"GAMMA CAS","2459523.424000","4 Nov 2021 22:10:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4263796"
"GAMMA CAS","2459523.305000","4 Nov 2021 19:19:00","Equal","2.3000","","C J Evans","Visual","NE","No Filter","64.01","=C","","4249004"
"GAMMA CAS","2459521.310000","2 Nov 2021 19:26:00","Equal","2.2000","","C J Evans","Visual","NE","No Filter","64.01","B(1)V(1)C","","4234302"
"GAMMA CAS","2459521.308000","2 Nov 2021 19:24:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4364226"
"GAMMA CAS","2459520.380000","1 Nov 2021 21:07:00","Equal","2.0000","","C J Evans","Visual","NE","No Filter","64.01","A(2)v(1)B","","4234300"
"GAMMA CAS","2459520.319000","1 Nov 2021 19:40:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4263693"
"GAMMA CAS","2459520.319000","1 Nov 2021 19:40:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4364225"
"GAMMA CAS","2459519.324000","31 Oct 2021 19:47:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4262454"
"GAMMA CAS","2459518.333000","30 Oct 2021 20:00:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4230211"
"GAMMA CAS","2459517.338000","29 Oct 2021 20:07:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4262453"
"GAMMA CAS","2459515.269000","27 Oct 2021 18:27:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+3",": ","4256939"
"GAMMA CAS","2459509.295000","21 Oct 2021 19:05:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4229679"
"GAMMA CAS","2459503.300000","15 Oct 2021 19:12:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","B+1;C+3",": ","4256938"
"GAMMA CAS","2459498.361000","10 Oct 2021 20:40:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4229549"
"GAMMA CAS","2459498.320000","10 Oct 2021 19:41:00","Equal","2.3000","","G M Hurst","Visual","Naked eye","No Filter","64.01","V=C","","4262452"
"GAMMA CAS","2459496.291000","8 Oct 2021 18:59:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+2",": ","4256937"
"GAMMA CAS","2459493.332000","5 Oct 2021 19:58:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4262451"
"GAMMA CAS","2459491.382000","3 Oct 2021 21:10:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4229465"
"GAMMA CAS","2459491.333000","3 Oct 2021 19:59:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4262450"
"GAMMA CAS","2459489.325000","1 Oct 2021 19:48:00","Equal","2.2000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+1","","4262449"
"GAMMA CAS","2459489.319000","1 Oct 2021 19:40:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+2",": ","4256936"
"GAMMA CAS","2459487.372000","29 Sep 2021 20:55:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4260339"
"GAMMA CAS","2459485.369000","27 Sep 2021 20:52:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4260340"
"GAMMA CAS","2459481.431000","23 Sep 2021 22:20:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4222837"
"GAMMA CAS","2459481.313000","23 Sep 2021 19:31:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","B+1;C+3",": ","4227594"
"GAMMA CAS","2459480.342000","22 Sep 2021 20:13:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4260338"
"GAMMA CAS","2459478.333000","20 Sep 2021 20:00:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4222753"
"GAMMA CAS","2459473.365000","15 Sep 2021 20:45:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+3",": ","4227593"
"GAMMA CAS","2459473.358000","15 Sep 2021 20:35:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4222733"
"GAMMA CAS","2459469.451000","11 Sep 2021 22:50:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4260337"
"GAMMA CAS","2459465.411000","7 Sep 2021 21:52:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4260336"
"GAMMA CAS","2459464.410000","6 Sep 2021 21:51:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4260335"
"GAMMA CAS","2459464.392000","6 Sep 2021 21:25:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4222665"
"GAMMA CAS","2459463.390000","5 Sep 2021 21:21:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","B+1;C+3",": ","4227592"
"GAMMA CAS","2459462.418000","4 Sep 2021 22:02:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4260334"
"GAMMA CAS","2459454.399000","27 Aug 2021 21:35:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4221462"
"GAMMA CAS","2459451.413000","24 Aug 2021 21:55:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4177771"
"GAMMA CAS","2459450.404000","23 Aug 2021 21:42:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4221461"
"GAMMA CAS","2459439.444000","12 Aug 2021 22:40:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4177705"
"GAMMA CAS","2459439.408000","12 Aug 2021 21:48:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4221460"
"GAMMA CAS","2459437.406000","10 Aug 2021 21:45:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4221459"
"GAMMA CAS","2459433.421000","6 Aug 2021 22:06:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4221458"
"GAMMA CAS","2459430.443000","3 Aug 2021 22:38:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+3",": ","4195990"
"GAMMA CAS","2459430.431000","3 Aug 2021 22:20:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4177553"
"GAMMA CAS","2459424.448000","28 Jul 2021 22:45:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4157217"
"GAMMA CAS","2459421.459300","25 Jul 2021 23:01:00","Equal","2.3000","","R K Hunt","Visual","NE","No Filter","64.01","=C","","4162721"
"GAMMA CAS","2459415.472000","19 Jul 2021 23:20:00","Equal","2.4000","","S W Albrighton","Visual","20x80B","No Filter","064.01","C-1","","4157141"
"GAMMA CAS","2459415.457000","19 Jul 2021 22:58:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C=3","","4156644"
"GAMMA CAS","2459414.432200","18 Jul 2021 22:22:00","Equal","2.3000","","R K Hunt","Visual","NE","No Filter","64.01","=C","","4162678"
"GAMMA CAS","2459413.451700","17 Jul 2021 22:50:00","Equal","2.3000","","R K Hunt","Visual","NE","No Filter","64.01","=C","","4148417"
"GAMMA CAS","2459413.428000","17 Jul 2021 22:17:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4156643"
"GAMMA CAS","2459412.456000","16 Jul 2021 22:57:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+2",": ","4167418"
"GAMMA CAS","2459412.444700","16 Jul 2021 22:40:00","Equal","2.3000","","R K Hunt","Visual","NE","No Filter","64.01","=C","","4147094"
"GAMMA CAS","2459411.451000","15 Jul 2021 22:50:00","Equal","2.5000","","S W Albrighton","Visual","20x80B","No Filter","064.01","C-2","","4157047"
"GAMMA CAS","2459411.427000","15 Jul 2021 22:15:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4156642"
"GAMMA CAS","2459410.457000","14 Jul 2021 22:58:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4156641"
"GAMMA CAS","2459406.458000","10 Jul 2021 23:00:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4156970"
"GAMMA CAS","2459402.451000","6 Jul 2021 22:50:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4156823"
"GAMMA CAS","2459402.451000","6 Jul 2021 22:50:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","C+2;D+4",": ","4167417"
"GAMMA CAS","2459388.465000","22 Jun 2021 23:10:00","Equal","2.4000","","S W Albrighton","Visual","20x80B","No Filter","064.01","C-1","","4142760"
"GAMMA CAS","2459379.455000","13 Jun 2021 22:55:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4142645"
"GAMMA CAS","2459379.419000","13 Jun 2021 22:04:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4156615"
"GAMMA CAS","2459375.446000","9 Jun 2021 22:42:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","C+2;D+4",": ","4154973"
"GAMMA CAS","2459374.444000","8 Jun 2021 22:40:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4156614"
"GAMMA CAS","2459373.462000","7 Jun 2021 23:05:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4142584"
"GAMMA CAS","2459370.424000","4 Jun 2021 22:10:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4156613"
"GAMMA CAS","2459369.455000","3 Jun 2021 22:55:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4142519"
"GAMMA CAS","2459369.410000","3 Jun 2021 21:51:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4156612"
"GAMMA CAS","2459367.431000","1 Jun 2021 22:20:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4156611"
"GAMMA CAS","2459364.469000","29 May 2021 23:15:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4129689"
"GAMMA CAS","2459364.415000","29 May 2021 21:58:00","Equal","2.3000","","G M Hurst","Visual","Naked eye","No Filter","64.01","V=C","","4156582"
"GAMMA CAS","2459357.458000","22 May 2021 23:00:00","Equal","2.4000","","S W Albrighton","Visual","10x50B","No Filter","064.01","C-1","","4128651"
"GAMMA CAS","2459354.414000","19 May 2021 21:56:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4156581"
"GAMMA CAS","2459345.422000","10 May 2021 22:08:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-2;C+2",": ","4143702"
"GAMMA CAS","2459345.404000","10 May 2021 21:42:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4156580"
"GAMMA CAS","2459342.406000","7 May 2021 21:45:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4128579"
"GAMMA CAS","2459341.414000","6 May 2021 21:56:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4156579"
"GAMMA CAS","2459339.393000","4 May 2021 21:26:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4156578"
"GAMMA CAS","2459329.427000","24 Apr 2021 22:15:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4119220"
"GAMMA CAS","2459327.393000","22 Apr 2021 21:26:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4156481"
"GAMMA CAS","2459327.367000","22 Apr 2021 20:48:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+3",": ","4137143"
"GAMMA CAS","2459325.406000","20 Apr 2021 21:45:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4119041"
"GAMMA CAS","2459323.354000","18 Apr 2021 20:30:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4156480"
"GAMMA CAS","2459322.410000","17 Apr 2021 21:50:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4156479"
"GAMMA CAS","2459322.375000","17 Apr 2021 21:00:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4118997"
"GAMMA CAS","2459319.386000","14 Apr 2021 21:16:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4156478"
"GAMMA CAS","2459317.455000","12 Apr 2021 22:55:00","Equal","2.2000","","R B I Fraser","Visual","NE","No Filter","64.01","C+1","","4114321"
"GAMMA CAS","2459317.360000","12 Apr 2021 20:39:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+2",": ","4137142"
"GAMMA CAS","2459317.355000","12 Apr 2021 20:31:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4156477"
"GAMMA CAS","2459316.438000","11 Apr 2021 22:30:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4118948"
"GAMMA CAS","2459316.351000","11 Apr 2021 20:26:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4156476"
"GAMMA CAS","2459311.332000","6 Apr 2021 19:58:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4156475"
"GAMMA CAS","2459310.368000","5 Apr 2021 20:50:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4118815"
"GAMMA CAS","2459310.334000","5 Apr 2021 20:01:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4156474"
"GAMMA CAS","2459309.339000","4 Apr 2021 20:08:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4156473"
"GAMMA CAS","2459308.368000","3 Apr 2021 20:50:00","Equal","2.4000","","R K Hunt","Visual","B10x50","No Filter","64.01","C-1","","4091947"
"GAMMA CAS","2459306.354100","1 Apr 2021 20:30:00","Equal","2.4000","","R K Hunt","Visual","B10x50","No Filter","64.01","C-1","","4088076"
"GAMMA CAS","2459304.357000","30 Mar 2021 20:34:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+2",": ","4134231"
"GAMMA CAS","2459303.358300","29 Mar 2021 20:36:00","Equal","2.2000","","R K Hunt","Visual","B10x50","No Filter","64.01","C+1","","4084464"
"GAMMA CAS","2459303.358000","29 Mar 2021 20:35:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4156690"
"GAMMA CAS","2459303.344000","29 Mar 2021 20:15:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4089580"
"GAMMA CAS","2459299.353000","25 Mar 2021 20:29:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4156689"
"GAMMA CAS","2459297.373000","23 Mar 2021 20:57:00","Equal","2.1000","","R B I Fraser","Visual","NE","No Filter","64.01","C+2","","4082209"
"GAMMA CAS","2459293.303000","19 Mar 2021 19:17:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+3",": ","4134230"
"GAMMA CAS","2459291.472000","17 Mar 2021 23:20:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4089444"
"GAMMA CAS","2459291.345000","17 Mar 2021 20:17:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4156688"
"GAMMA CAS","2459290.325000","16 Mar 2021 19:48:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4156687"
"GAMMA CAS","2459290.314500","16 Mar 2021 19:33:00","Equal","2.2000","","R K Hunt","Visual","NE","No Filter","64.01","C+1","","4075511"
"GAMMA CAS","2459287.325000","13 Mar 2021 19:48:00","Equal","2.2000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+1","","4156686"
"GAMMA CAS","2459285.451000","11 Mar 2021 22:50:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4089367"
"GAMMA CAS","2459285.343000","11 Mar 2021 20:14:00","Equal","2.2000","","R K Hunt","Visual","NE","No Filter","64.01","C+1","","4074360"
"GAMMA CAS","2459281.392000","7 Mar 2021 21:24:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4156685"
"GAMMA CAS","2459280.324000","6 Mar 2021 19:47:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-2;C+3",": ","4134229"
"GAMMA CAS","2459279.458000","5 Mar 2021 23:00:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4089264"
"GAMMA CAS","2459279.310000","5 Mar 2021 19:26:00","Equal","2.2000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+1","","4156684"
"GAMMA CAS","2459275.382000","1 Mar 2021 21:10:00","Equal","2.2000","","R B I Fraser","Visual","NE","No Filter","64.01","C+1","","4071634"
"GAMMA CAS","2459275.319000","1 Mar 2021 19:39:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4156683"
"GAMMA CAS","2459274.351000","28 Feb 2021 20:25:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4071040"
"GAMMA CAS","2459274.341000","28 Feb 2021 20:11:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4082265"
"GAMMA CAS","2459273.311000","27 Feb 2021 19:28:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4082264"
"GAMMA CAS","2459273.304800","27 Feb 2021 19:19:00","Equal","2.2000","","R K Hunt","Visual","B10x50","No Filter","64.01","C+1","","4068496"
"GAMMA CAS","2459272.315000","26 Feb 2021 19:34:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4082263"
"GAMMA CAS","2459272.308000","26 Feb 2021 19:24:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+2",": ","4124480"
"GAMMA CAS","2459271.323000","25 Feb 2021 19:45:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4070956"
"GAMMA CAS","2459271.308600","25 Feb 2021 19:24:00","Equal","2.2000","","R K Hunt","Visual","NE","No Filter","64.01","C+1","","4068460"
"GAMMA CAS","2459268.289600","22 Feb 2021 18:57:00","Equal","2.2000","","R K Hunt","Visual","NE","No Filter","64.01","C+1","","4051013"
"GAMMA CAS","2459264.405500","18 Feb 2021 21:44:00","Equal","2.1000","","R K Hunt","Visual","NE","No Filter","64.01","C+2","","4042987"
"GAMMA CAS","2459264.327000","18 Feb 2021 19:51:00","Equal","2.3000","","G M Hurst","Visual","Naked eye","No Filter","64.01","V=C","","4082262"
"GAMMA CAS","2459264.294000","18 Feb 2021 19:03:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+3",": ","4124479"
"GAMMA CAS","2459262.313000","16 Feb 2021 19:30:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4070822"
"GAMMA CAS","2459258.308000","12 Feb 2021 19:24:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4082261"
"GAMMA CAS","2459257.338800","11 Feb 2021 20:08:00","Equal","2.2000","","R K Hunt","Visual","NE","No Filter","64.01","C+1","","4034976"
"GAMMA CAS","2459257.279000","11 Feb 2021 18:42:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-2;C+2",": ","4124478"
"GAMMA CAS","2459256.372000","10 Feb 2021 20:55:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","B(2)v(1)C","","4070755"
"GAMMA CAS","2459256.317000","10 Feb 2021 19:36:00","Equal","2.0000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+3","","4082260"
"GAMMA CAS","2459249.382000","3 Feb 2021 21:10:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","B(2)v(1)C","","4070681"
"GAMMA CAS","2459249.332000","3 Feb 2021 19:58:00","Equal","2.2000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+1","","4082259"
"GAMMA CAS","2459247.327000","1 Feb 2021 19:51:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+2",": ","4124477"
"GAMMA CAS","2459247.321500","1 Feb 2021 19:43:00","Equal","2.3000","","R K Hunt","Visual","NE","No Filter","64.01","=C","","4026621"
"GAMMA CAS","2459240.310000","25 Jan 2021 19:27:00","Equal","2.1000","","G M Hurst","Visual","Naked eye","No Filter","64.01","C+2","","4047736"
